State,HouseholdIncome (Median)
Maryland,87063
New Jersey,85245
Massachusetts,84385
Hawaii,83173
Connecticut,79855
California,78672
New Hampshire,77923
Alaska,77790
Washington,77006
Virginia,76398
Colorado,75231
Utah,74197
Minnesota,73382
New York,71117
Rhode Island,70305
Delaware,69110
Illinois,68428
Oregon,65667
North Dakota,65315
Wyoming,65304
Texas,63826
Pennsylvania,63627
Vermont,63477
Wisconsin,63293
Nebraska,63015
Nevada,62043
Iowa,61836
Arizona,61529
Georgia,61224
Kansas,61091
South Dakota,59896
Maine,59489
Michigan,59234
Idaho,58915
Indiana,58235
Ohio,58116
Florida,57703
Missouri,57290
North Carolina,56642
Montana,56539
South Carolina,54864
Tennessee,54833
Oklahoma,53840
Kentucky,52238
Alabama,52035
New Mexico,51243
Louisiana,50800
Arkansas,49475
West Virginia,48037
Mississippi,46511
